"spec","refs_actual","refs_expected","delta"
"01-baseline-registry-and-cli","02,03,04,05,06,07,08","02,03,04,05,06,08",""
"02-shared-backbones-internal","01,03,04,05,07,08","03,08",""
"03-internal-variants","01,02,04,05,06,07,08","02,07,08",""
"04-pettingzoo-adapter","01,05,06,08","05,06,08",""
"05-external-mappo","01,04,07,08","04,07,08",""
"06-external-qmix-mamuzero-mamba","01,04,05,07,08","04,07,08",""
"07-fairness-protocol","01,02,03,05,06,08","03,05,06,08",""
"08-integration-contracts","01,02,03,04,05,06,07","01,02,03,04,05,06,07",""
